"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_1"
4.54846739839033e-11,-0.110501431857516,0.995,0.997,1.14198370971386e-06,"rps15a",4.4064275392827e-09
6.01511282624051e-11,-0.16951312354334,0.979,0.991,1.5102143772842e-06,"ENSDARG00000031435",5.72680224594829e-09
6.5428290748245e-11,-0.251061261233707,0.927,0.961,1.64270809581619e-06,"cox7b",6.12364443240354e-09
8.56012846145946e-11,-0.577942311456036,0.583,0.748,2.14919145281863e-06,"cenpx",7.87817156069652e-09
9.56220595060563e-11,-0.364786879300139,0.878,0.944,2.40078304801856e-06,"ahcy",8.6561477474171e-09
9.73998500506262e-11,-0.180949232056762,0.968,0.984,2.44541803522107e-06,"atp5mc3b",8.67487051579933e-09
9.98948985569837e-11,-0.103973101111493,0.993,0.997,2.50806121807019e-06,"rps25",8.75586714018514e-09
1.33729279946353e-10,0.167917972882433,0.977,0.991,3.35754103161309e-06,"hmgn6",1.15383294353713e-08
1.51632520537148e-10,-0.107348195824545,0.991,0.998,3.80703769312616e-06,"rpl24",1.28817658216328e-08
1.89474309950393e-10,-0.115340755916053,0.991,0.998,4.75713149992452e-06,"rpl36a",1.58526839325162e-08
2.13051587821492e-10,-0.818343908154997,0.25,0.435,5.34908621543419e-06,"gapdhs",1.7559266685825e-08
2.81831592442744e-10,0.156216355157854,0.977,0.989,7.07594579145998e-06,"rpl4",2.28863831392476e-08
8.35096968420998e-10,-0.882532371238356,0.25,0.422,2.0966779586146e-05,"tdp1",6.68319631829094e-08
1.03057221722653e-09,-1.65579488393575,0.057,0.185,2.58745766579065e-05,"zgc:174153",8.12974254789272e-08
1.06721272520684e-09,-0.424400091199649,0.667,0.796,2.67945098917681e-05,"aamp",8.30020939238334e-08
1.19999489899627e-09,-0.513223483752144,0.069,0.207,3.01282719290993e-05,"si:dkey-239j18.2",9.20329421146861e-08
1.86039342194205e-09,1.59781313857206,0.19,0.07,4.67088976446991e-05,"znf1156",1.40727294191288e-07
2.0492590866842e-09,-0.49423577301269,0.681,0.813,5.14507478893801e-05,"mdh1aa",1.52919036171218e-07
2.5281937548557e-09,0.211236878603421,0.984,0.992,6.34753606031621e-05,"rpl6",1.86142478857509e-07
2.677310962538e-09,-0.10146979686633,0.995,1,6.72192463364416e-05,"rps7",1.94527778093879e-07
5.34624560964916e-09,-0.714145438143871,0.452,0.601,0.000134228188521462,"cdh6",3.83402185149126e-07
5.97002139914516e-09,1.15452795269075,0.486,0.344,0.000149889327268338,"gins4",4.22646899565123e-07
6.05953272466662e-09,-0.188675446955283,0.959,0.974,0.000152136688118205,"atp5fa1",4.23553667159609e-07
6.66120685977212e-09,-0.196874571306394,0.938,0.964,0.000167242920628299,"uqcrh",4.5978980349577e-07
7.42642416542315e-09,-0.266324156525802,0.894,0.96,0.000186455231521279,"atp5if1a",5.06280422734156e-07
7.93255645505856e-09,-0.550489156092092,0.342,0.498,0.000199162694917155,"uxt",5.34189960302846e-07
8.76023985319798e-09,-0.40015139211734,0.693,0.793,0.000219943341994242,"tcf12",5.82819812883847e-07
1.19420601083298e-08,0.630691957085478,0.933,0.917,0.000299829303139837,"histh1l",7.85048284740443e-07
1.38612210471304e-08,0.804874121451874,0.374,0.213,0.000348013676830302,"sfrp5",8.91600406689376e-07
1.38858447981323e-08,-0.120753987985895,0.979,0.988,0.000348631905346707,"btf3",8.91600406689376e-07
1.72400464413387e-08,1.04475791496347,0.284,0.148,0.000432845846002691,"hbbe1.3",1.09424754539164e-06
2.08610120951712e-08,-0.319887043770878,0.823,0.893,0.000523757430673464,"adh5",1.30902850897199e-06
2.14674176867698e-08,-0.919288105044067,0.202,0.363,0.00053898245586173,"gstt1a",1.33194472434093e-06
2.25116190298272e-08,-1.04267924976977,0.112,0.252,0.000565199218981872,"hand2",1.38121289203007e-06
2.30066248818132e-08,-0.573036520594435,0.528,0.684,0.000577627330907685,"ENSDARG00000111714",1.39607233623487e-06
2.3390473804218e-08,-2.59557456050875,0.016,0.103,0.0005872646258025,"jakmip3",1.39723497468324e-06
2.35329989237127e-08,-0.116493117089139,0.982,0.991,0.000590843003977655,"ran",1.39723497468324e-06
2.37848764252489e-08,-0.190251429249014,0.961,0.983,0.000597166892408725,"cbx3a",1.39723497468324e-06
2.47271955032044e-08,-0.165167291802766,0.97,0.972,0.000620825697498952,"ENSDARG00000015978",1.43730077440731e-06
3.64191589666993e-08,0.989800195472636,0.202,0.087,0.000914375824176919,"hbbe1.2",2.09486037306368e-06
4.21882099328842e-08,0.117001518517881,0.979,0.991,0.00105921938678492,"ppiaa",2.40168345617924e-06
6.35148641582088e-08,0.815239501039562,0.239,0.115,0.00159466769442015,"arrdc3b",3.57886816205744e-06
6.95424145424388e-08,-1.12233722589025,0.08,0.199,0.00174600140191701,"nav3",3.87892134447825e-06
8.02988803867087e-08,-0.152562616841777,0.956,0.967,0.00201606398986909,"psmb6",4.43410417495405e-06
8.45525639740059e-08,-1.31325707622893,0.259,0.388,0.00212286122369537,"si:ch211-113a14.19",4.62276493331149e-06
9.21958671297532e-08,0.883975911879634,0.323,0.181,0.00231476163602671,"bloc1s2",4.99123115971076e-06
9.61202761385088e-08,-0.389730863451331,0.757,0.833,0.00241329177300954,"exosc3",5.15316664890141e-06
1.13075650119191e-07,-1.62621030010477,0.055,0.162,0.00283899034754254,"rtn4r",6.00388211498245e-06
2.30087368190231e-07,-0.165065224221239,0.959,0.981,0.00577680355315214,"cox4i1",1.21004042585377e-05
2.37356050282447e-07,0.466451295306641,0.784,0.74,0.00595929835444141,"nr2f5",1.23649066949026e-05
2.44268647533571e-07,-1.04159018255381,0.037,0.128,0.00613285293362536,"he1.2",1.26060885203774e-05
2.88274985179202e-07,0.334176689762213,0.924,0.958,0.00723772005289423,"twist1a",1.47393932236996e-05
2.92310828306807e-07,-0.212966170128994,0.917,0.952,0.007339047966299,"magoh",1.48086274670659e-05
2.97369813581181e-07,-0.470079343305129,0.617,0.734,0.00746606390958271,"adsl",1.49279646417753e-05
3.0643762046727e-07,1.1472088276005,0.291,0.164,0.00769372933707175,"gstt1b",1.52445814434258e-05
3.17737420834415e-07,-0.188296619399466,0.92,0.955,0.00797743342488967,"eif4bb",1.56655896236397e-05
3.50731928371804e-07,-0.277144921008282,0.842,0.927,0.00880582652563089,"aimp1a",1.70453546461151e-05
3.51896129963259e-07,0.844649531554968,0.431,0.298,0.00883505613498754,"ebf2",1.70453546461151e-05
4.03240011109448e-07,-0.456290818664974,0.328,0.48,0.0101241469589249,"snu13a",1.9348601311665e-05
4.06453776195789e-07,0.694760489419622,0.603,0.488,0.0102048349589477,"ndnf",1.9348601311665e-05
4.12035404099773e-07,0.861840947526042,0.323,0.193,0.010344972890733,"hbbe3",1.94466624054611e-05
5.27984673895032e-07,-0.160546619205984,0.963,0.978,0.0132561112074826,"snrpd1",2.47078929597319e-05
5.36980264047131e-07,0.355505485853143,0.849,0.864,0.0134819634894313,"si:ch211-156b7.4",2.49176892274643e-05
5.64484258590445e-07,-0.245621920530952,0.901,0.95,0.0141725062804303,"ldhba",2.59254225339109e-05
5.72742493044822e-07,1.11429848840704,0.186,0.086,0.0143798457728764,"hbae1.3",2.59254225339109e-05
5.72781881408389e-07,-0.245741800408763,0.853,0.931,0.0143808346965204,"ndufb10",2.59254225339109e-05
5.92695527646814e-07,-0.202036868724581,0.936,0.97,0.0148808066126286,"atp5mc1",2.66086561273635e-05
6.28688942009697e-07,-0.68107788599035,0.241,0.377,0.0157844932670375,"zgc:173552.1",2.79969382078834e-05
7.02373507911788e-07,1.24665681099023,0.245,0.131,0.0176344916631413,"ifngr2",3.09839073027486e-05
7.06985208284375e-07,-0.421270011622362,0.544,0.684,0.0177502776243958,"pcca",3.09839073027486e-05
7.23676252212675e-07,-0.322840731776966,0.683,0.813,0.0181693396643036,"mrpl34",3.14656713757354e-05
7.44830712961673e-07,-1.10067124749941,0.039,0.129,0.0187004647103287,"lyz",3.21324624763622e-05
7.75631760670429e-07,-0.469937974185091,0.544,0.681,0.0194737866151525,"ube2t",3.32018494761404e-05
7.81988368958286e-07,1.43219003841972,0.213,0.104,0.0196333819794357,"shda",3.32164597952897e-05
7.96472300861308e-07,0.807674131243737,0.452,0.327,0.0199970300577248,"si:dkey-68o6.5",3.35734354607339e-05
8.03258520671073e-07,1.16011801479049,0.264,0.148,0.0201674116784886,"hbae3",3.36029814480732e-05
8.33021749514636e-07,0.990839363470065,0.466,0.326,0.020914677065064,"jag1b",3.45860609084197e-05
9.4020391035182e-07,0.56751101216364,0.661,0.579,0.0236056995772032,"ebf3a.1",3.87448208430056e-05
9.53107622117818e-07,-0.495249474879782,0.433,0.564,0.0239296730685121,"si:ch211-191j22.3",3.87451247456629e-05
9.54244289281085e-07,-0.684283185451406,0.188,0.315,0.0239582113709802,"artnb",3.87451247456629e-05
1.03606016223463e-06,0.743650645756529,0.567,0.463,0.026012362493225,"dnph1",4.17600307726982e-05
1.11454278713921e-06,-0.302890265727023,0.761,0.875,0.0279828257567042,"phb",4.4597864279585e-05
1.34554133913375e-06,0.184689601466094,0.968,0.966,0.0337825064016309,"eif5a",5.34538077316298e-05
1.37821498496761e-06,-0.360027937826274,0.736,0.85,0.0346028436275818,"dhfr",5.43607367642225e-05
1.59244988439966e-06,-0.250706788262857,0.401,0.57,0.0399816392476222,"ccn1",6.23653068202476e-05
1.61540015701203e-06,-0.864193876672994,0.222,0.347,0.040557851742101,"oxct1a",6.28185892043692e-05
1.65292689530841e-06,-0.233987188803404,0.622,0.74,0.0415000355605082,"emg1",6.38284078034477e-05
1.78243136504177e-06,-1.0446151631134,0.229,0.354,0.0447515042821037,"pdlim1",6.83512916511157e-05
1.80451935967709e-06,-1.78502118724835,0.034,0.117,0.0453060675634128,"si:dkey-15j16.3",6.87210752009442e-05
1.84784751195331e-06,1.29847773984346,0.236,0.129,0.0463939074826117,"myo10l3",6.98891367192203e-05
1.89720194885645e-06,-0.601596544929095,0.209,0.333,0.0476330493299389,"picalmb",7.12676813713288e-05
2.04588149963912e-06,-0.546575337437584,0.592,0.734,0.0513659468114395,"grem2b",7.63334975743733e-05
2.25603470587379e-06,-0.138464126492155,0.954,0.983,0.0566422633603733,"eif3k",8.36095546700341e-05
2.33000141005489e-06,-0.751150109749055,0.225,0.358,0.0584993454022482,"si:dkey-85k7.7",8.57751185754875e-05
2.40596524851896e-06,-0.301250828387942,0.521,0.662,0.0604065694945656,"chchd10",8.79850337902101e-05
2.49487327629269e-06,0.940506649581326,0.401,0.274,0.0626387833478807,"b2ml",9.06361199453175e-05
2.59620399150651e-06,-0.228099477197763,0.899,0.953,0.065182893614754,"vdac1",9.36993896085075e-05
2.61313038748826e-06,-1.13794411772269,0.025,0.101,0.0656078646386677,"si:dkey-239j18.3",9.36993896085075e-05
2.83013368585222e-06,-0.512852766967569,0.468,0.576,0.0710561664506916,"chac1",0.000100825794924361
2.91250781628607e-06,0.826813602594743,0.394,0.26,0.0731243337434943,"kyat3",0.000103095308727767
2.93446779085662e-06,-1.27672466238649,0.103,0.21,0.0736756828250372,"msx1b",0.000103211026376499
2.965859315479e-06,1.05101533270762,0.248,0.139,0.0744638298337311,"arrdc3a",0.000103654905949842
3.12627560007625e-06,-1.59127395009699,0.055,0.145,0.0784914014911144,"gbx2",0.0001085741752429
3.17834376966081e-06,-0.365270699547708,0.633,0.751,0.079798677024874,"lrrc20",0.000109692589350419
3.56541501467347e-06,-0.153981043228249,0.947,0.969,0.0895168747734069,"rbm8a",0.000122287091372838
3.63659211954241e-06,-0.162127150806019,0.927,0.961,0.0913039183453513,"atp5pd",0.000123958405457489
3.68889577439244e-06,-0.690894093772227,0.062,0.154,0.0926171062076711,"cavin2b",0.000124969831080951
3.81826502815547e-06,-0.779227698579389,0.108,0.217,0.0958651800618994,"ddah1",0.000128563777350454
4.11940544313006e-06,-0.540270488555963,0.475,0.615,0.103425912460666,"zgc:110796",0.000137862768830086
4.3467978053076e-06,-1.07959022029498,0.053,0.14,0.109135052497858,"cadm3",0.000144596490848847
4.40322344155729e-06,0.26174156263062,0.913,0.93,0.110551730947179,"ywhae1",0.00014559640625317
4.7655585532224e-06,0.219027307510448,0.956,0.96,0.119648878595755,"si:ch1073-429i10.3",0.000156639371017227
4.88671152412283e-06,-0.206767622121111,0.851,0.908,0.122690666236152,"ppa1b",0.000159671130391753
5.04023718087515e-06,0.518418516282178,0.644,0.531,0.126545234900232,"cxcl12b",0.000163718763016427
5.09379255050778e-06,0.835959628547556,0.245,0.137,0.127889849565599,"her9",0.000164119802970332
5.11202573540331e-06,-0.146936958157047,0.931,0.972,0.128347630138771,"eif3g",0.000164119802970332
5.41213612789642e-06,0.323225122478729,0.899,0.914,0.135882501763095,"sdc4",0.000171212002657622
5.41773125220848e-06,-0.283982511611294,0.757,0.844,0.136022978549198,"polr2i",0.000171212002657622
5.42595082670841e-06,-0.547714383983501,0.351,0.488,0.136229347406168,"sox9a",0.000171212002657622
5.57803644400774e-06,-0.139917874448855,0.94,0.956,0.140047760999702,"atp5f1c",0.000175010893430743
5.96654602540767e-06,-0.70014130058301,0.31,0.438,0.14980207105991,"dlx4b",0.000186142752272888
7.17870629380558e-06,-0.178286765038907,0.936,0.977,0.180235778918577,"cox8a",0.00022270121435053
7.97250233959594e-06,-0.662597690837847,0.257,0.372,0.200165616240235,"hsd17b12b",0.000245945016308652
8.27722245234504e-06,-1.01481611226346,0.239,0.349,0.207816224111027,"tuba8l2",0.000253926791010274
9.51842620601502e-06,-0.148915831732086,0.966,0.975,0.238979126754419,"calm3a",0.000289644614749108
9.54854459517209e-06,-0.310295151733547,0.658,0.768,0.239735309150986,"ptbp1a",0.000289644614749108
9.62231841777009e-06,0.297170160517664,0.931,0.952,0.241587548514954,"eif3s10",0.000289644614749108
9.65132363524735e-06,0.357343257241407,0.741,0.678,0.242315782510155,"tfap4",0.000289644614749108
9.82875913792933e-06,-0.455549301219872,0.807,0.869,0.246770655675992,"hist1h4l.3",0.000293375178160247
9.95482729942212e-06,0.127652477173291,0.963,0.981,0.249935849006591,"syncrip",0.000295540625523704
1.06104829732934e-05,-0.203645650202716,0.892,0.941,0.266397396010476,"cox6c",0.00031332132074078
1.09058148164999e-05,1.07949812525034,0.278,0.17,0.273812292597862,"bet1",0.000320329305408044
1.1715877005909e-05,-0.203617937232947,0.911,0.953,0.294150523987357,"sf3b5",0.000342301972627669
1.22535850570527e-05,-0.328066656905413,0.365,0.497,0.307650760027421,"cyt1",0.000356127877289709
1.29360371504516e-05,-1.02827831414301,0.092,0.185,0.324785084736389,"si:ch73-390p7.2",0.000373993702328763
1.31651861881116e-05,0.480260610904028,0.807,0.802,0.330538329624917,"bahcc1b",0.000378636240264334
1.37141677445893e-05,0.441600778963853,0.826,0.83,0.344321609563404,"mab21l2",0.00039238152479597
1.47150275612947e-05,0.913459985831151,0.399,0.282,0.369450196981426,"loxl2b",0.000418429370622765
1.47849070329107e-05,-0.302578635291014,0.507,0.632,0.371204660875288,"etv5b",0.000418429370622765
1.48518936331151e-05,0.27712028339811,0.888,0.911,0.372886493446622,"ier5",0.000418429370622765
1.5734625027418e-05,-0.478078334394788,0.31,0.438,0.395049230563384,"arpc1b",0.0004410487279259
1.63866189726995e-05,-0.619931402041353,0.041,0.115,0.411418842547567,"gpd1a",0.000457004595794175
1.69093564252315e-05,0.255222220014168,0.92,0.95,0.424543211768286,"smarca4a",0.000469213397890091
1.70730907609368e-05,-0.401523363831138,0.544,0.642,0.42865408973484,"prelid1a",0.000471388035909465
1.8099337366745e-05,-1.24778877011649,0.057,0.14,0.454420063266867,"ackr3b",0.000497236522085403
1.85456213843286e-05,0.598499396143524,0.39,0.269,0.465624916096337,"hey1",0.000506974857842883
1.89594419031717e-05,0.580798996282778,0.64,0.562,0.476014707862931,"col1a2",0.000515328566621813
1.90477233039739e-05,0.293867736262598,0.904,0.921,0.478231188992873,"ilf2",0.000515328566621813
1.91311764138848e-05,-1.13828480259815,0.048,0.126,0.480326446223405,"pex10",0.000515328566621813
2.09782767174668e-05,0.525640962327192,0.672,0.589,0.526701593545438,"pim1",0.000562340019581803
2.10987898500569e-05,-0.464761474198354,0.298,0.427,0.529727316765378,"spry2",0.000562838249043547
2.12634088740814e-05,-1.33944663502994,0.073,0.159,0.533860406601561,"col6a1",0.000564502614435948
2.20204180292062e-05,-0.387510761308729,0.874,0.928,0.552866635459281,"hist1h4l.18",0.000581802623719028
2.22375093175001e-05,-0.274625500708719,0.677,0.773,0.558317146434475,"pqbp1",0.000584675016764718
2.23408961494668e-05,-0.471059831135895,0.608,0.699,0.560912879624662,"zgc:153405",0.000584675016764718
2.31545543921317e-05,-0.61333113923644,0.248,0.374,0.581341397123251,"pcdh18a",0.000601744359160319
2.32110736148403e-05,-0.285221567706043,0.658,0.774,0.582760425247794,"uqcrc2a",0.000601744359160319
2.37644441703218e-05,-1.65443155680308,0.067,0.148,0.596653899784269,"ism1",0.000613211498637929
2.46150815656495e-05,-0.641336079827564,0.397,0.497,0.618010852868761,"tdh",0.000632206885607052
2.4766032092392e-05,1.07609740491799,0.197,0.107,0.621800767743686,"prkcaa",0.000633139024139762
2.55231371677406e-05,0.999502466543464,0.45,0.336,0.640809404870463,"plp2",0.000649487389125638
2.73746105083817e-05,0.141361117855622,0.986,0.984,0.68729434603394,"hmgn7",0.000693406418473779
2.8313543717522e-05,-0.106716769714778,0.972,0.978,0.710868142115824,"atp5f1b",0.000713915015562357
2.97502347360915e-05,-0.141121780453624,0.929,0.949,0.746939143519049,"csnk2b",0.000746730891875896
3.02785543964353e-05,-0.759300654168006,0.144,0.246,0.760203665231301,"alkbh6",0.000752378207675833
3.0287046433399e-05,-0.25897710070754,0.479,0.615,0.76041687480335,"slc25a55a",0.000752378207675833
3.03839804983178e-05,-0.154181604676193,0.933,0.966,0.762850598371264,"pfdn4",0.000752378207675833
3.41735925097435e-05,0.604813992317985,0.748,0.766,0.857996387142131,"id3",0.000842440079637517
3.58117958775819e-05,-0.217106077754689,0.557,0.668,0.899126759098449,"tspan36",0.000878901052604477
3.63656256781856e-05,-1.27319819108138,0.085,0.173,0.913031763902205,"gbp3",0.000888544181393543
3.69979289780701e-05,0.571862665280541,0.69,0.648,0.928907002852407,"tnc",0.000900011294347592
3.78944607251458e-05,-0.228169842674213,0.521,0.678,0.951416225426235,"cth",0.000913831437921056
3.78970299318946e-05,-0.118376764487993,0.943,0.974,0.951480730500077,"prdx2",0.000913831437921056
3.83582228210359e-05,-0.318290471108762,0.452,0.581,0.963059900367749,"cdon",0.000917250276920181
3.83710275205654e-05,-0.898299869098919,0.22,0.326,0.963381387958834,"hist1h2a10",0.000917250276920181
3.92874503598215e-05,-0.188027203861726,0.894,0.936,0.986390016184039,"ndufb7",0.000935109055547131
4.07745269334022e-05,0.505481726753053,0.631,0.516,1,"efna5a",0.000966338788524666
4.13146190641815e-05,0.434971983017284,0.837,0.857,1,"rsf1b.1.1",0.000974954386634232
4.20519712141816e-05,0.733207340564256,0.507,0.399,1,"nova2",0.000988131851254087
4.42104747144728e-05,1.03616723552242,0.11,0.045,1,"slc16a6b",0.0010294785950646
4.43094424086404e-05,-0.293438115239325,0.635,0.751,1,"mycbp",0.0010294785950646
4.43708630252401e-05,-0.490203640426176,0.085,0.173,1,"zgc:174863",0.0010294785950646
4.71854082639036e-05,-0.585487156388758,0.374,0.48,1,"map2",0.00109020010223128
4.74974939539349e-05,-0.344348126777182,0.674,0.785,1,"si:dkey-239h2.3",0.00109283817339012
4.81125542968617e-05,-0.249832269440125,0.814,0.916,1,"uqcrq",0.00110091862882778
4.82474299486279e-05,0.199096200297512,0.927,0.956,1,"eif1b",0.00110091862882778
